movie,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,genres,release_month,ROI
chernobyl diaries,en,14.658,5.0,842,2012-05-25,1000000,42411721,multiple_genres,5,41411721
child 44,en,26.386,6.2,903,2015-04-17,50000000,8004221,multiple_genres,4,-41995779
chips,en,13.744,6.0,657,2017-03-24,25000000,23190292,multiple_genres,3,-1809708
chloe,en,8.807,5.9,940,2010-03-26,13000000,11831131,multiple_genres,3,-1168869
christmas mail,en,3.793,5.4,29,2010-12-31,2500000,0,multiple_genres,12,-2500000
christopher robin,en,20.931,7.4,1280,2018-08-03,75000000,197504758,multiple_genres,8,122504758
chronicle,en,12.556,6.7,3084,2012-02-03,12000000,123681790,multiple_genres,2,111681790
churchill,en,7.692,6.1,150,2017-06-02,10000000,7582196,biography,6,-2417804
cinderella,en,29.056,6.7,4517,2015-03-13,95000000,534551353,drama,3,439551353
circle,en,2.587,3.8,6,2010-08-27,2000000,10024,multiple_genres,8,-1989976
circumstance,fa,2.86,6.9,45,2011-08-26,900000,958978,drama,8,58978
cirque du soleil: worlds away,en,6.538,6.8,82,2012-12-21,25000000,28012862,fantasy,12,3012862
city of ghosts,en,4.341,7.1,24,2003-04-25,17500000,325491,multiple_genres,4,-17174509
clash of the titans,en,15.574,5.7,3714,2010-04-01,125000000,493214888,multiple_genres,4,368214888
close range,en,6.604,5.2,87,2015-12-11,3000000,0,multiple_genres,12,-3000000
closer to the moon,en,1.067,7.2,19,2014-04-17,1500000,5396,multiple_genres,4,-1494604
closure,en,0.6,8.0,1,2015-03-17,100000,0,multiple_genres,3,-100000
cloud atlas,en,14.681,6.8,4505,2012-10-26,102000000,130673154,multiple_genres,10,28673154
cloudy with a chance of meatballs 2,en,18.335,6.4,1679,2013-09-27,78000000,274392649,multiple_genres,9,196392649
coco,en,25.961,8.2,8669,2017-11-22,175000000,798008101,horror,11,623008101
code of honor,en,4.408,4.2,36,2016-05-06,8000000,0,multiple_genres,5,-8000000
coffee town,en,4.758,6.7,56,2013-07-09,2000000,0,comedy,7,-2000000
collateral beauty,en,12.857,7.2,3270,2016-12-16,36000000,85309093,multiple_genres,12,49309093
collide,en,9.035,5.6,331,2017-02-24,29200000,5466698,action,2,-23733302
colombiana,en,10.584,6.5,1371,2011-08-26,40000000,72295262,multiple_genres,8,32295262
columbus,en,8.964,7.3,130,2017-08-04,700000,1110511,comedy,8,410511
coming home,zh,5.348,7.3,76,1978-01-01,3000000,32653000,family,1,29653000
compadres,es,1.927,5.1,21,2016-04-22,3000000,7445044,multiple_genres,4,4445044
compliance,en,6.93,6.4,340,2012-08-17,270000,830700,multiple_genres,8,560700
conan the barbarian,en,17.046,5.2,1024,1982-05-14,20000000,79114085,multiple_genres,5,59114085
concussion,en,12.809,7.1,1435,2015-12-25,35000000,50363790,multiple_genres,12,15363790
conspiracy theory,en,10.151,6.5,707,1997-08-08,80000000,142783718,multiple_genres,8,62783718
contagion,en,10.444,6.3,2128,2011-09-09,60000000,137551594,multiple_genres,9,77551594
contraband,en,12.357,6.2,1114,2012-01-13,25000000,98406855,multiple_genres,1,73406855
conviction,en,7.51,7.2,297,2010-10-15,12500000,11826980,multiple_genres,10,-673020
cop car,en,11.414,5.8,452,2015-08-07,5000000,143658,multiple_genres,8,-4856342
cop out,en,8.82,5.4,796,2010-02-26,37000000,55909910,multiple_genres,2,18909910
copycat,en,0.6,6.7,3,1995-10-27,20000000,32051917,comedy,10,12051917
coriolanus,en,8.016,6.0,215,2012-01-20,10000000,2179623,multiple_genres,1,-7820377
counting,en,0.6,8.3,3,2015-07-31,50000,8374,documentary,7,-41626
country strong,en,7.567,6.3,126,2010-12-22,15000000,20601987,multiple_genres,12,5601987
courageous,en,7.406,7.0,128,2011-09-30,2000000,35185884,drama,9,33185884
crawl,en,1.937,5.6,18,2019-07-12,17000000,0,drama,7,-17000000
crazy rich asians,en,17.969,7.1,1496,2018-08-15,30000000,238099711,multiple_genres,8,208099711
creative control,en,3.35,5.6,36,2016-03-11,1000000,63014,multiple_genres,3,-936986
creature,en,5.121,4.1,23,2011-09-09,3000000,331000,multiple_genres,9,-2669000
creed,en,16.356,7.3,4010,2015-11-25,37000000,173567581,multiple_genres,11,136567581
creed ii,en,26.907,6.7,2236,2018-11-21,50000000,213591522,multiple_genres,11,163591522
criminal,en,13.651,5.9,897,2016-04-15,31500000,38771262,multiple_genres,4,7271262
criminal activities,en,7.914,5.9,166,2015-11-20,7000000,386744,multiple_genres,11,-6613256
crimson peak,en,9.897,6.5,2986,2015-10-16,55000000,74966854,multiple_genres,10,19966854
crossroads,en,0.6,4.0,1,2015-06-23,500000,0,documentary,6,-500000
crowsnest,en,1.755,4.9,18,2012-09-07,1200000,0,multiple_genres,9,-1200000
cube,en,0.84,2.0,1,1998-09-11,250000,8969065,multiple_genres,9,8719065
